reviewId,userName,content,score,thumbsUpCount,appVersion,at
gp_4248273252,Kenji R.,Not bad. Wish there were more restaurants in my area,3,3,4.0.3,17/06/2026 05:26
gp_9419350566,meerax300,Been using PapaEats for 3 months now. So easy.,5,1,4.0.4,12/07/2026 04:00
gp_3614196694,tara.g,Mama Rosa sent the wrong dish and nobody answers the chat... Come on.,3,2,4.0.4,10/07/2026 09:43
gp_7755217432,Ellax L.,great app 👍 Thanks.,5,3,4.1.2,25/07/2026 07:50
gp_2006280638,Sam B.,Can we get a way to split the cost with the people I'm ordering with? Anyone else?,5,7,4.1.2,29/07/2026 19:35
gp_5833445437,ben1984,Ordered pizza for the whole family on Sunday. Keep it up.,4,7,4.1.2,05/08/2026 02:05
gp_9963313827,finnx254,The reorder button is genius.,5,7,4.0.4,18/06/2026 16:02
gp_8082981855,Pierre W.,Order was 49 minutes late with no updates. Won't be ordering again.,2,1,4.1.0,05/08/2026 13:18
gp_8941609261,amelia496,"clean design, easy to use, food always on time.",5,2,4.0.4,03/07/2026 00:24
gp_2070625615,dan_z78,Friday night pasta sorted in about 28 minutes. Exactly what a delivery app should be Cheers.,4,0,4.1.2,10/08/2026 05:29
gp_3700787026,layla1992,solid app... Does what it says.,4,0,4.0.4,25/06/2026 08:44
gp_6234892196,Yasmin O.,The scheduled delivery feature is brilliant for office lunches.,5,0,4.1.0,18/08/2026 03:39
gp_8343150902,hugo1990,"Quick kebab for movie night, arrived early. So easy Sort it please.",5,15,4.0.4,06/07/2026 14:19
gp_7031871653,George A.,friday night kebab sorted in about 36 minutes. food was hot. perfect.,5,0,4.1.2,27/08/2026 01:35
gp_4127113875,tara.l,Quick one: ordered greek for the whole family yesterday. The scheduled delivery thing is genius for the office Thx,5,0,4.1.2,05/08/2026 20:39
gp_2367360047,sara1988,Why is petrol so expensive lol,4,3,4.1.2,25/07/2026 20:39
gp_5649242035,Tara I.,Quick one: been using PapaEats for 3 months now. Love it.,5,15,4.1.0,03/08/2026 00:35
gp_2993144653,Leah L.,Delivery was early! Food was hot. Perfect.,4,0,4.2.0,06/09/2026 17:55
